@relation bloodseeker

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1, 0}

@data
1,9,5,373,545,0
1,9,5,373,545,0
7,9,7,306,326,0
7,9,7,306,326,0
11,12,11,567,592,0
11,12,11,567,592,0
13,6,16,597,690,1
13,6,16,597,690,1
13,4,6,668,621,1
13,4,6,668,621,1
5,8,4,379,468,0
5,8,4,379,468,0
13,7,13,609,617,1
13,7,13,609,617,1
13,7,11,638,641,1
13,7,11,638,641,1
21,9,8,655,682,0
21,9,8,655,682,0
20,7,7,617,656,1
20,7,7,617,656,1
15,7,14,540,681,1
15,7,14,540,681,1
14,9,16,679,809,1
14,9,16,679,809,1
2,10,3,350,442,0
2,10,3,350,442,0
17,2,12,606,757,1
17,2,12,606,757,1
1,7,8,364,328,1
1,7,8,364,328,1
16,10,6,526,521,1
16,10,6,526,521,1
23,9,12,554,614,1
23,9,12,554,614,1
10,8,9,475,634,0
10,8,9,475,634,0
4,12,2,331,389,0
4,12,2,331,389,0
6,10,7,386,431,0
6,10,7,386,431,0
19,10,11,641,700,1
19,10,11,641,700,1
15,2,11,573,636,1
15,2,11,573,636,1
11,13,11,433,520,0
11,13,11,433,520,0
8,5,1,463,495,0
8,5,1,463,495,0
12,5,13,635,521,1
12,5,13,635,521,1
9,11,18,480,486,1
9,11,18,480,486,1
12,1,10,731,686,1
12,1,10,731,686,1
12,13,10,357,540,0
12,13,10,357,540,0
10,5,5,426,514,0
10,5,5,426,514,0
12,7,12,535,416,1
12,7,12,535,416,1
7,5,6,368,457,0
7,5,6,368,457,0
20,13,15,570,673,1
20,13,15,570,673,1
11,8,18,472,487,1
11,8,18,472,487,1
13,3,2,602,389,1
13,3,2,602,389,1
9,11,6,413,471,0
9,11,6,413,471,0
23,6,10,630,711,1
23,6,10,630,711,1
21,8,10,747,891,1
21,8,10,747,891,1
21,12,7,465,532,0
21,12,7,465,532,0
3,9,11,350,390,0
3,9,11,350,390,0
7,2,8,592,576,1
7,2,8,592,576,1
15,6,11,626,674,1
15,6,11,626,674,1
18,9,17,560,636,1
18,9,17,560,636,1
9,3,2,577,491,1
9,3,2,577,491,1
14,7,7,645,614,1
14,7,7,645,614,1
21,7,22,534,578,1
21,7,22,534,578,1
2,9,5,292,306,0
2,9,5,292,306,0
17,11,16,551,507,0
17,11,16,551,507,0
7,11,6,429,513,0
7,11,6,429,513,0
6,9,14,506,551,1
6,9,14,506,551,1
32,7,11,758,820,1
32,7,11,758,820,1
10,8,5,600,697,1
10,8,5,600,697,1
15,6,11,466,578,0
15,6,11,466,578,0
16,7,11,539,476,1
16,7,11,539,476,1
8,0,6,580,463,1
8,0,6,580,463,1
11,6,11,566,655,1
11,6,11,566,655,1
10,7,16,504,597,1
10,7,16,504,597,1
15,7,12,510,556,1
15,7,12,510,556,1
14,3,5,727,667,1
14,3,5,727,667,1
4,9,5,505,591,1
4,9,5,505,591,1
19,11,9,525,692,0
19,11,9,525,692,0
15,13,20,501,562,0
15,13,20,501,562,0
9,12,11,455,539,0
9,12,11,455,539,0
8,17,18,421,554,1
8,17,18,421,554,1
20,12,27,592,663,1
20,12,27,592,663,1
17,6,6,537,632,0
17,6,6,537,632,0
12,27,17,352,349,0
12,27,17,352,349,0
24,7,19,559,496,1
24,7,19,559,496,1
12,12,9,420,608,0
12,12,9,420,608,0
5,3,4,321,430,0
5,3,4,321,430,0
23,3,7,752,784,1
23,3,7,752,784,1
10,6,12,583,643,1
10,6,12,583,643,1
30,10,16,666,574,1
30,10,16,666,574,1
15,4,10,597,659,1
15,4,10,597,659,1
7,2,11,571,514,1
7,2,11,571,514,1
14,4,8,647,761,1
14,4,8,647,761,1
14,5,6,591,666,1
14,5,6,591,666,1
8,9,8,467,463,0
8,9,8,467,463,0
22,11,14,613,688,1
22,11,14,613,688,1
3,9,1,344,346,0
3,9,1,344,346,0
23,4,10,648,697,1
23,4,10,648,697,1
21,9,7,565,538,0
21,9,7,565,538,0
23,1,12,800,912,1
23,1,12,800,912,1
8,11,15,529,641,1
8,11,15,529,641,1
11,9,14,512,567,1
11,9,14,512,567,1
15,14,19,501,566,1
15,14,19,501,566,1
11,8,16,455,484,1
11,8,16,455,484,1
7,11,10,430,512,1
7,11,10,430,512,1
20,9,14,597,722,1
20,9,14,597,722,1
10,4,11,540,591,1
10,4,11,540,591,1
11,9,11,476,645,0
11,9,11,476,645,0
12,9,6,541,492,1
12,9,6,541,492,1
8,11,3,452,531,0
8,11,3,452,531,0
13,10,15,555,467,0
13,10,15,555,467,0
10,2,2,699,495,1
10,2,2,699,495,1
14,7,14,592,601,1
14,7,14,592,601,1
11,5,6,505,726,0
11,5,6,505,726,0
9,9,9,466,508,1
9,9,9,466,508,1
16,0,9,646,666,1
16,0,9,646,666,1
2,12,3,380,468,0
2,12,3,380,468,0
4,10,5,285,297,0
4,10,5,285,297,0
19,9,11,558,670,1
19,9,11,558,670,1
10,1,3,604,410,1
10,1,3,604,410,1
16,9,14,477,651,1
16,9,14,477,651,1
18,14,19,480,648,0
18,14,19,480,648,0
11,10,5,544,461,0
11,10,5,544,461,0
12,10,9,456,641,0
12,10,9,456,641,0
4,8,4,347,447,0
4,8,4,347,447,0
0,10,5,200,177,0
0,10,5,200,177,0
15,13,13,397,561,0
15,13,13,397,561,0
8,9,3,457,472,0
8,9,3,457,472,0
1,8,2,265,308,0
1,8,2,265,308,0
12,6,7,453,554,1
12,6,7,453,554,1
16,13,4,476,642,0
16,13,4,476,642,0
20,12,2,447,538,0
20,12,2,447,538,0
27,5,6,671,712,1
27,5,6,671,712,1
12,7,10,427,498,0
12,7,10,427,498,0
11,12,9,424,597,0
11,12,9,424,597,0
43,10,17,764,757,1
43,10,17,764,757,1
13,7,5,353,477,0
13,7,5,353,477,0
11,12,10,524,673,0
11,12,10,524,673,0
