@relation windrunner

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1,0}

@data
4,7,5,370,362,0
4,7,5,370,362,0
3,5,8,417,332,1
3,5,8,417,332,1
3,8,6,351,400,0
3,8,6,351,400,0
8,10,17,495,576,1
8,10,17,495,576,1
5,10,7,399,506,0
5,10,7,399,506,0
11,11,25,493,566,1
11,11,25,493,566,1
7,6,9,451,426,1
7,6,9,451,426,1
8,1,10,601,536,1
8,1,10,601,536,1
32,3,6,718,774,1
32,3,6,718,774,1
3,3,15,383,413,1
3,3,15,383,413,1
8,8,8,321,298,0
8,8,8,321,298,0
10,5,4,475,402,1
10,5,4,475,402,1
11,5,13,569,565,1
11,5,13,569,565,1
0,3,13,342,308,1
0,3,13,342,308,1
12,6,11,477,627,0
12,6,11,477,627,0
4,8,4,271,267,0
4,8,4,271,267,0
21,4,11,587,665,1
21,4,11,587,665,1
6,7,11,347,401,0
6,7,11,347,401,0
6,5,13,393,452,0
6,5,13,393,452,0
7,2,13,384,451,1
7,2,13,384,451,1
5,0,13,492,341,1
5,0,13,492,341,1
11,8,16,373,425,1
11,8,16,373,425,1
10,9,7,500,513,1
10,9,7,500,513,1
9,12,12,487,676,0
9,12,12,487,676,0
23,5,15,696,818,1
23,5,15,696,818,1
17,12,13,390,523,0
17,12,13,390,523,0
11,6,8,459,399,1
11,6,8,459,399,1
9,8,7,421,414,0
9,8,7,421,414,0
2,9,9,277,334,0
2,9,9,277,334,0
8,12,14,443,423,1
8,12,14,443,423,1
8,14,12,349,412,0
8,14,12,349,412,0
11,2,11,621,745,1
11,2,11,621,745,1
12,12,15,472,488,1
12,12,15,472,488,1
4,5,17,461,509,1
4,5,17,461,509,1
10,9,8,490,568,0
10,9,8,490,568,0
5,7,4,354,377,0
5,7,4,354,377,0
8,8,16,520,607,1
8,8,16,520,607,1
2,8,7,285,396,0
2,8,7,285,396,0
7,6,12,400,480,0
7,6,12,400,480,0
4,7,8,319,380,0
4,7,8,319,380,0
8,3,10,556,574,1
8,3,10,556,574,1
3,2,3,405,325,1
3,2,3,405,325,1
18,2,14,518,592,1
18,2,14,518,592,1
6,8,10,386,451,0
6,8,10,386,451,0
5,15,14,367,530,0
5,15,14,367,530,0
9,7,18,460,530,1
9,7,18,460,530,1
10,5,15,487,432,1
10,5,15,487,432,1
12,6,16,453,550,1
12,6,16,453,550,1
13,10,14,489,529,1
13,10,14,489,529,1
0,2,8,448,387,1
0,2,8,448,387,1
4,3,4,522,534,1
4,3,4,522,534,1
0,4,4,273,320,0
0,4,4,273,320,0
11,12,5,424,477,0
11,12,5,424,477,0
9,6,13,439,550,0
9,6,13,439,550,0
0,7,5,287,386,0
0,7,5,287,386,0
5,15,3,444,529,1
5,15,3,444,529,1
2,7,2,225,245,0
2,7,2,225,245,0
16,9,9,468,570,0
16,9,9,468,570,0
11,4,4,590,526,1
11,4,4,590,526,1
7,10,5,316,304,0
7,10,5,316,304,0
17,4,10,417,576,0
17,4,10,417,576,0
24,10,14,487,543,0
24,10,14,487,543,0
11,2,6,562,506,1
11,2,6,562,506,1
1,9,10,399,448,1
1,9,10,399,448,1
11,12,19,399,507,1
11,12,19,399,507,1
12,14,4,406,479,0
12,14,4,406,479,0
8,6,21,351,480,0
8,6,21,351,480,0
5,13,8,237,265,0
5,13,8,237,265,0
2,2,6,416,291,1
2,2,6,416,291,1
2,2,8,370,374,1
2,2,8,370,374,1
8,14,10,301,379,0
8,14,10,301,379,0
3,8,7,420,301,1
3,8,7,420,301,1
0,6,0,149,98,0
0,6,0,149,98,0
9,10,7,400,451,0
9,10,7,400,451,0
6,5,9,485,430,1
6,5,9,485,430,1
3,7,9,346,374,1
3,7,9,346,374,1
3,2,3,447,399,1
3,2,3,447,399,1
5,9,8,363,403,0
5,9,8,363,403,0
5,11,20,325,342,1
5,11,20,325,342,1
3,7,8,311,321,0
3,7,8,311,321,0
22,5,16,608,713,1
22,5,16,608,713,1
12,14,11,388,502,0
12,14,11,388,502,0
9,8,7,381,502,0
9,8,7,381,502,0
9,3,12,477,556,0
9,3,12,477,556,0
4,11,21,307,418,0
4,11,21,307,418,0
1,13,9,305,353,0
1,13,9,305,353,0
8,6,20,485,613,1
8,6,20,485,613,1
13,6,7,492,543,1
13,6,7,492,543,1
7,4,11,309,448,0
7,4,11,309,448,0
8,7,5,442,406,1
8,7,5,442,406,1
21,10,16,525,589,1
21,10,16,525,589,1
2,1,5,529,419,1
2,1,5,529,419,1
2,10,8,351,402,0
2,10,8,351,402,0
19,2,7,618,684,1
19,2,7,618,684,1
12,4,8,536,585,1
12,4,8,536,585,1
7,0,7,477,553,1
7,0,7,477,553,1
9,12,6,377,403,0
9,12,6,377,403,0
9,5,12,499,513,1
9,5,12,499,513,1
2,9,12,284,335,0
2,9,12,284,335,0
23,8,20,640,638,1
23,8,20,640,638,1
6,9,8,399,472,0
6,9,8,399,472,0
13,2,9,528,639,1
13,2,9,528,639,1
7,11,14,391,558,0
7,11,14,391,558,0
4,6,11,369,436,0
4,6,11,369,436,0
15,4,14,571,618,1
15,4,14,571,618,1
17,6,7,518,653,0
17,6,7,518,653,0
12,3,9,443,513,0
12,3,9,443,513,0
3,11,7,252,262,0
3,11,7,252,262,0
4,13,10,312,436,0
4,13,10,312,436,0
17,12,10,519,469,1
17,12,10,519,469,1
8,11,6,498,522,1
8,11,6,498,522,1
25,1,5,936,881,1
25,1,5,936,881,1
3,0,10,502,448,1
3,0,10,502,448,1
0,12,7,217,242,0
0,12,7,217,242,0
14,11,6,464,482,0
14,11,6,464,482,0
16,8,7,412,473,0
16,8,7,412,473,0
11,14,9,460,543,1
11,14,9,460,543,1
18,7,15,577,678,1
18,7,15,577,678,1
11,13,5,405,494,0
11,13,5,405,494,0
10,7,13,483,646,1
10,7,13,483,646,1
2,16,9,278,267,0
2,16,9,278,267,0
17,5,6,459,629,0
17,5,6,459,629,0
13,10,15,377,521,0
13,10,15,377,521,0
3,10,13,288,355,0
3,10,13,288,355,0
8,3,12,361,555,0
8,3,12,361,555,0
2,8,4,222,285,0
2,8,4,222,285,0
10,5,14,505,678,0
10,5,14,505,678,0
0,14,7,172,156,0
0,14,7,172,156,0
4,9,9,354,526,0
4,9,9,354,526,0
20,6,15,503,722,1
20,6,15,503,722,1
19,10,15,508,630,1
19,10,15,508,630,1
18,7,25,546,734,1
18,7,25,546,734,1
12,12,10,357,459,0
12,12,10,357,459,0
21,8,18,619,543,1
21,8,18,619,543,1
8,12,8,361,412,0
8,12,8,361,412,0
9,1,11,492,604,1
9,1,11,492,604,1
12,10,15,410,528,0
12,10,15,410,528,0
15,6,14,458,592,1
15,6,14,458,592,1
16,5,12,472,647,1
16,5,12,472,647,1
2,9,12,390,417,1
2,9,12,390,417,1
18,2,6,731,643,1
18,2,6,731,643,1
16,17,21,396,499,0
16,17,21,396,499,0
3,9,7,294,392,0
3,9,7,294,392,0
6,7,9,422,454,1
6,7,9,422,454,1
15,3,24,493,680,1
15,3,24,493,680,1
1,18,6,224,305,0
1,18,6,224,305,0
3,8,6,197,185,0
3,8,6,197,185,0
4,19,4,286,347,0
4,19,4,286,347,0
10,4,3,447,548,0
10,4,3,447,548,0
8,10,9,366,377,1
8,10,9,366,377,1
0,9,3,221,254,0
0,9,3,221,254,0
12,3,14,544,585,1
12,3,14,544,585,1
3,12,7,310,389,0
3,12,7,310,389,0
3,7,16,274,383,0
3,7,16,274,383,0
10,8,12,476,499,1
10,8,12,476,499,1
9,5,14,459,554,1
9,5,14,459,554,1
14,9,13,526,700,0
14,9,13,526,700,0
8,3,18,469,507,1
8,3,18,469,507,1
6,9,13,445,477,1
6,9,13,445,477,1
3,7,9,423,350,1
3,7,9,423,350,1
14,9,10,417,607,1
14,9,10,417,607,1
6,8,15,394,562,0
6,8,15,394,562,0
13,14,17,478,546,1
13,14,17,478,546,1
7,2,7,496,520,1
7,2,7,496,520,1
5,9,17,431,472,1
5,9,17,431,472,1
2,7,7,326,416,0
2,7,7,326,416,0
2,10,8,241,297,0
2,10,8,241,297,0
7,8,7,396,449,0
7,8,7,396,449,0
4,1,6,370,276,1
4,1,6,370,276,1
3,9,16,316,428,0
3,9,16,316,428,0
5,4,17,434,389,1
5,4,17,434,389,1
6,11,8,417,451,1
6,11,8,417,451,1
7,8,6,348,503,0
7,8,6,348,503,0
22,5,14,591,563,1
22,5,14,591,563,1
22,7,28,544,653,1
22,7,28,544,653,1
8,5,4,430,426,1
8,5,4,430,426,1
6,10,2,329,332,1
6,10,2,329,332,1
1,6,2,241,229,0
1,6,2,241,229,0
4,7,7,340,386,0
4,7,7,340,386,0
17,5,17,579,675,1
17,5,17,579,675,1
6,9,9,337,352,0
6,9,9,337,352,0
7,5,10,416,392,1
7,5,10,416,392,1
16,5,9,412,519,0
16,5,9,412,519,0
10,15,6,379,409,1
10,15,6,379,409,1
26,7,16,729,790,1
26,7,16,729,790,1
8,15,10,282,307,0
8,15,10,282,307,0
11,8,9,382,513,0
11,8,9,382,513,0
14,16,12,438,520,0
14,16,12,438,520,0
15,5,18,433,572,1
15,5,18,433,572,1
6,12,11,376,524,0
6,12,11,376,524,0
1,12,4,509,397,0
1,12,4,509,397,0
2,5,5,302,289,1
2,5,5,302,289,1
7,2,7,478,468,1
7,2,7,478,468,1
0,17,6,233,248,0
0,17,6,233,248,0
8,11,7,364,370,0
8,11,7,364,370,0
12,11,10,460,540,0
12,11,10,460,540,0
3,13,6,241,332,0
3,13,6,241,332,0
8,1,9,491,504,1
8,1,9,491,504,1
9,7,5,428,495,0
9,7,5,428,495,0
11,14,12,381,401,1
11,14,12,381,401,1
9,2,12,416,509,1
9,2,12,416,509,1
6,5,6,476,580,1
6,5,6,476,580,1
10,11,7,377,417,0
10,11,7,377,417,0
9,8,11,341,443,0
9,8,11,341,443,0
3,12,7,263,331,0
3,12,7,263,331,0
10,5,16,346,453,0
10,5,16,346,453,0
16,9,15,396,528,1
16,9,15,396,528,1
10,7,5,335,397,0
10,7,5,335,397,0
6,10,10,313,318,1
6,10,10,313,318,1
9,7,13,498,695,1
9,7,13,498,695,1
6,16,17,405,462,0
6,16,17,405,462,0
7,3,5,457,414,1
7,3,5,457,414,1
21,2,22,766,710,1
21,2,22,766,710,1
14,3,17,589,621,1
14,3,17,589,621,1
8,11,6,385,487,0
