id,k,d,a,gpm,xpm,win
1815099776,10,13,17,458,569,0
1815099776,10,13,17,458,569,0
1815106065,10,15,26,415,567,1
1815106065,10,15,26,415,567,1
1815106122,3,10,12,313,310,0
1815106122,3,10,12,313,310,0
1815106167,11,3,21,535,536,1
1815106167,11,3,21,535,536,1
1815106211,3,14,23,360,484,1
1815106211,3,14,23,360,484,1
1815106214,5,8,7,288,380,0
1815106214,5,8,7,288,380,0
1815106616,8,5,20,489,449,1
1815106616,8,5,20,489,449,1
1815106732,7,6,8,482,615,0
1815106732,7,6,8,482,615,0
1815107492,7,5,20,450,575,1
1815107492,7,5,20,450,575,1
1815107560,10,7,17,427,456,1
1815107560,10,7,17,427,456,1
1815108053,3,9,18,355,375,1
1815108053,3,9,18,355,375,1
1815108112,8,1,12,523,573,1
1815108112,8,1,12,523,573,1
1815109300,22,14,25,454,605,0
1815109300,22,14,25,454,605,0
1815111010,13,7,8,468,608,0
1815111010,13,7,8,468,608,0
1815111093,2,3,1,349,285,0
1815111093,2,3,1,349,285,0
1815111923,12,10,21,432,507,0
1815111923,12,10,21,432,507,0
1815112587,1,7,6,219,188,0
1815112587,1,7,6,219,188,0
1815113063,10,11,18,415,536,0
1815113063,10,11,18,415,536,0
1815113067,4,5,12,316,529,0
1815113067,4,5,12,316,529,0
1815114057,4,6,4,432,528,0
1815114057,4,6,4,432,528,0
1815114732,8,7,14,464,398,1
1815114732,8,7,14,464,398,1
1815114765,6,6,7,359,413,0
1815114765,6,6,7,359,413,0
1815116051,0,6,1,194,159,0
1815116051,0,6,1,194,159,0
1815118466,5,0,20,440,442,1
1815118466,5,0,20,440,442,1
1815118822,7,11,2,326,275,0
1815118822,7,11,2,326,275,0
1815120129,26,5,11,617,665,1
1815120129,26,5,11,617,665,1
1815121376,21,8,12,562,479,1
1815121376,21,8,12,562,479,1
1815121604,12,22,28,392,509,1
1815121604,12,22,28,392,509,1
1815122758,8,12,20,432,549,1
1815122758,8,12,20,432,549,1
1815098985,6,8,16,406,431,0
1815098985,6,8,16,406,431,0
1815099232,4,12,4,337,338,0
1815099232,4,12,4,337,338,0
1815099730,11,6,23,556,665,1
1815099730,11,6,23,556,665,1
1815100822,7,0,11,580,462,1
1815100822,7,0,11,580,462,1
1815106854,3,12,15,349,386,1
1815106854,3,12,15,349,386,1
1815107389,4,11,21,412,489,1
1815107389,4,11,21,412,489,1
1815108506,8,12,15,386,506,0
1815108506,8,12,15,386,506,0
1815109123,8,13,11,433,603,0
1815109123,8,13,11,433,603,0
1815109185,7,4,18,472,560,1
1815109185,7,4,18,472,560,1
1815109212,7,9,11,326,429,0
1815109212,7,9,11,326,429,0
1815109498,12,4,20,499,587,1
1815109498,12,4,20,499,587,1
1815111529,5,11,36,398,476,1
1815111529,5,11,36,398,476,1
1815113893,6,9,9,368,440,0
1815113893,6,9,9,368,440,0
1815114101,7,9,21,422,558,0
1815114101,7,9,21,422,558,0
1815114559,8,9,18,464,565,1
1815114559,8,9,18,464,565,1
1815114947,9,2,14,546,575,1
1815114947,9,2,14,546,575,1
1815114988,12,7,20,443,561,1
1815114988,12,7,20,443,561,1
1815115433,10,14,14,426,551,0
1815115433,10,14,14,426,551,0
1815116140,5,9,18,309,385,0
1815116140,5,9,18,309,385,0
1815117486,4,7,18,437,524,1
1815117486,4,7,18,437,524,1
1815118204,6,7,6,531,359,1
1815118204,6,7,6,531,359,1
1815118236,8,14,23,367,456,0
1815118236,8,14,23,367,456,0
1815118549,17,10,27,524,598,1
1815118549,17,10,27,524,598,1
1815118719,7,14,22,343,527,0
1815118719,7,14,22,343,527,0
1815120118,7,8,13,319,392,0
1815120118,7,8,13,319,392,0
1815120189,9,11,6,377,432,0
1815120189,9,11,6,377,432,0
1815120524,8,4,12,502,558,1
1815120524,8,4,12,502,558,1
1815121591,5,6,17,442,606,1
1815121591,5,6,17,442,606,1
1815121798,5,4,15,415,464,1
1815121798,5,4,15,415,464,1
1815122593,10,11,21,449,469,0
1815122593,10,11,21,449,469,0
1815123150,5,6,6,366,432,0
1815123150,5,6,6,366,432,0
1815098664,15,9,16,442,518,1
1815098664,15,9,16,442,518,1
1815098714,4,5,20,490,484,1
1815098714,4,5,20,490,484,1
1815098763,10,7,20,426,520,1
1815098763,10,7,20,426,520,1
1815098823,16,6,11,523,628,1
1815098823,16,6,11,523,628,1
1815098852,8,3,20,477,585,1
1815098852,8,3,20,477,585,1
1815098962,4,11,34,363,526,1
1815098962,4,11,34,363,526,1
1815099073,6,7,18,364,427,1
1815099073,6,7,18,364,427,1
1815099370,9,4,24,534,561,1
1815099370,9,4,24,534,561,1
1815099465,15,5,8,459,564,0
1815099465,15,5,8,459,564,0
1815099746,2,3,11,288,323,1
1815099746,2,3,11,288,323,1
1815099815,19,6,28,574,722,1
1815099815,19,6,28,574,722,1
1815100026,2,7,22,366,419,1
1815100026,2,7,22,366,419,1
1815100067,17,6,17,536,551,1
1815100067,17,6,17,536,551,1
1815100122,3,10,12,398,414,0
1815100122,3,10,12,398,414,0
1815100159,3,14,9,340,360,0
1815100159,3,14,9,340,360,0
1815100160,4,9,7,290,379,0
1815100160,4,9,7,290,379,0
1815100216,0,3,9,315,321,1
1815100216,0,3,9,315,321,1
1815100245,7,14,16,321,377,0
1815100245,7,14,16,321,377,0
1815100282,1,3,1,142,61,0
1815100282,1,3,1,142,61,0
1815100430,9,2,17,537,675,1
1815100430,9,2,17,537,675,1
1815100543,6,5,19,383,449,1
1815100543,6,5,19,383,449,1
1815100571,11,14,29,367,417,1
1815100571,11,14,29,367,417,1
1815100574,11,8,11,432,546,0
1815100574,11,8,11,432,546,0
1815100575,2,1,6,369,288,1
1815100575,2,1,6,369,288,1
1815100667,4,10,27,379,438,1
1815100667,4,10,27,379,438,1
1815100712,2,16,22,318,344,1
1815100712,2,16,22,318,344,1
1815100714,9,14,20,488,649,1
1815100714,9,14,20,488,649,1
1815100732,11,4,5,483,538,1
1815100732,11,4,5,483,538,1
1815100821,2,10,18,267,402,0
1815100821,2,10,18,267,402,0
1815105183,10,5,18,398,437,1
1815105183,10,5,18,398,437,1
1815105262,3,0,14,424,369,1
1815105262,3,0,14,424,369,1
1815105598,1,8,9,223,207,0
1815105598,1,8,9,223,207,0
1815105667,6,15,11,291,306,0
1815105667,6,15,11,291,306,0
1815105669,13,13,23,444,507,1
