@relation earthshaker

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1, 0}

@data
5,5,10,403,360,1
5,5,10,403,360,1
2,12,8,247,279,0
2,12,8,247,279,0
19,8,17,470,502,0
19,8,17,470,502,0
3,14,17,323,384,0
3,14,17,323,384,0
7,8,16,448,536,0
7,8,16,448,536,0
4,8,15,331,402,0
4,8,15,331,402,0
10,7,20,488,586,1
10,7,20,488,586,1
12,9,20,396,461,1
12,9,20,396,461,1
4,7,11,326,277,1
4,7,11,326,277,1
6,16,9,313,346,0
6,16,9,313,346,0
5,3,14,465,500,1
5,3,14,465,500,1
0,5,0,111,103,0
0,5,0,111,103,0
3,12,32,345,433,1
3,12,32,345,433,1
4,7,17,314,305,1
4,7,17,314,305,1
5,4,10,372,382,1
5,4,10,372,382,1
4,9,17,311,360,0
4,9,17,311,360,0
5,15,5,336,355,0
5,15,5,336,355,0
4,12,21,303,270,1
4,12,21,303,270,1
9,17,10,370,424,0
9,17,10,370,424,0
2,12,5,263,238,0
2,12,5,263,238,0
4,2,10,426,467,1
4,2,10,426,467,1
3,14,18,288,367,0
3,14,18,288,367,0
6,9,25,413,418,1
6,9,25,413,418,1
2,5,14,344,275,1
2,5,14,344,275,1
17,4,11,525,557,1
17,4,11,525,557,1
3,13,34,345,518,1
3,13,34,345,518,1
9,12,22,392,501,1
9,12,22,392,501,1
5,12,14,312,399,0
5,12,14,312,399,0
7,17,26,382,440,0
7,17,26,382,440,0
8,9,23,424,552,1
8,9,23,424,552,1
1,11,13,319,411,0
1,11,13,319,411,0
6,5,19,468,499,1
6,5,19,468,499,1
3,9,20,314,345,1
3,9,20,314,345,1
2,17,6,300,271,0
2,17,6,300,271,0
2,5,9,277,317,0
2,5,9,277,317,0
9,12,8,395,466,0
9,12,8,395,466,0
3,6,19,428,320,1
3,6,19,428,320,1
12,3,13,553,473,1
12,3,13,553,473,1
12,8,34,446,512,1
12,8,34,446,512,1
5,2,26,389,374,1
5,2,26,389,374,1
8,3,27,460,535,1
8,3,27,460,535,1
4,15,7,279,332,0
4,15,7,279,332,0
3,6,12,349,443,0
3,6,12,349,443,0
18,8,13,498,585,1
18,8,13,498,585,1
6,7,18,391,560,0
6,7,18,391,560,0
4,11,15,240,290,0
4,11,15,240,290,0
4,6,20,367,399,1
4,6,20,367,399,1
2,8,8,239,246,0
2,8,8,239,246,0
10,8,11,513,632,0
10,8,11,513,632,0
8,8,33,472,701,1
8,8,33,472,701,1
11,1,13,513,503,1
11,1,13,513,503,1
2,7,8,283,328,0
2,7,8,283,328,0
5,9,28,327,503,1
5,9,28,327,503,1
5,4,9,238,251,0
5,4,9,238,251,0
9,5,28,428,572,1
9,5,28,428,572,1
2,6,14,294,315,1
2,6,14,294,315,1
10,3,25,492,529,1
10,3,25,492,529,1
1,11,20,254,269,1
1,11,20,254,269,1
2,1,5,379,249,1
2,1,5,379,249,1
4,7,18,332,381,1
4,7,18,332,381,1
11,5,25,421,602,1
11,5,25,421,602,1
13,10,13,449,564,1
13,10,13,449,564,1
1,6,3,161,149,0
1,6,3,161,149,0
9,10,13,370,434,0
9,10,13,370,434,0
9,2,9,409,457,1
9,2,9,409,457,1
10,11,13,418,559,0
10,11,13,418,559,0
8,3,26,420,469,1
8,3,26,420,469,1
3,10,10,216,248,0
3,10,10,216,248,0
3,10,10,235,207,0
3,10,10,235,207,0
5,12,24,312,399,0
5,12,24,312,399,0
13,10,23,414,486,0
13,10,23,414,486,0
22,11,18,471,564,0
22,11,18,471,564,0
3,10,8,215,234,0
3,10,8,215,234,0
2,9,21,302,346,0
2,9,21,302,346,0
11,5,21,440,491,1
11,5,21,440,491,1
5,6,25,377,453,1
5,6,25,377,453,1
4,11,21,316,413,1
4,11,21,316,413,1
14,6,16,465,540,1
14,6,16,465,540,1
4,7,30,344,478,1
4,7,30,344,478,1
3,9,11,370,302,1
3,9,11,370,302,1
5,4,27,414,480,1
5,4,27,414,480,1
4,9,6,306,320,0
4,9,6,306,320,0
7,9,27,376,444,1
7,9,27,376,444,1
16,13,12,432,575,0
16,13,12,432,575,0
9,5,12,443,430,1
9,5,12,443,430,1
5,3,7,336,422,0
5,3,7,336,422,0
2,9,13,246,262,0
2,9,13,246,262,0
4,9,11,258,277,0
4,9,11,258,277,0
2,11,6,258,254,0
2,11,6,258,254,0
13,7,19,497,591,1
13,7,19,497,591,1
1,8,3,237,226,0
1,8,3,237,226,0
8,1,20,498,425,1
8,1,20,498,425,1
6,14,11,321,424,0
6,14,11,321,424,0
