3,15,1.000000
12,91,0.916667
10,42,0.900000
7,83,0.857143
6,103,0.833333
6,6,0.833333
16,20,0.812500
14,44,0.785714
28,72,0.750000
8,14,0.750000
7,58,0.714286
37,76,0.675676
40,27,0.675000
3,10,0.666667
27,98,0.666667
12,86,0.666667
3,55,0.666667
6,94,0.666667
3,28,0.666667
18,53,0.666667
18,107,0.666667
6,51,0.666667
6,90,0.666667
14,74,0.642857
11,99,0.636364
22,109,0.636364
19,46,0.631579
8,31,0.625000
13,106,0.615385
5,7,0.600000
5,0,0.600000
27,70,0.592593
27,82,0.592593
26,3,0.576923
14,77,0.571429
7,71,0.571429
28,9,0.571429
22,4,0.545455
13,39,0.538462
15,11,0.533333
15,37,0.533333
15,57,0.533333
17,97,0.529412
17,32,0.529412
23,87,0.521739
27,96,0.518519
31,35,0.516129
388,95,0.512887
30,85,0.500000
10,79,0.500000
4,102,0.500000
4,40,0.500000
6,26,0.500000
6,66,0.500000
4,63,0.500000
10,92,0.500000
41,45,0.487805
31,64,0.483871
54,8,0.481481
48,68,0.479167
21,81,0.476190
13,61,0.461538
11,13,0.454545
11,16,0.454545
20,84,0.450000
16,56,0.437500
16,59,0.437500
16,33,0.437500
7,23,0.428571
7,89,0.428571
14,34,0.428571
7,100,0.428571
19,93,0.421053
19,88,0.421053
42,105,0.404762
10,50,0.400000
5,12,0.400000
5,21,0.400000
10,24,0.400000
5,36,0.400000
10,80,0.400000
10,1,0.400000
10,2,0.400000
10,104,0.400000
23,18,0.391304
18,73,0.388889
13,38,0.384615
21,78,0.380952
8,49,0.375000
8,43,0.375000
11,60,0.363636
11,17,0.363636
14,25,0.357143
17,108,0.352941
17,65,0.352941
3,54,0.333333
3,62,0.333333
3,19,0.333333
12,29,0.333333
7,22,0.285714
31,41,0.258065
4,67,0.250000
4,30,0.250000
4,52,0.250000
10,101,0.200000
11,48,0.181818
6,5,0.166667
6,69,0.166667
7,75,0.142857
1,47,0.000000
