10,47,1.000000
10,15,1.000000
10,94,0.900000
10,97,0.846154
10,92,0.818182
10,30,0.800000
38,98,0.793103
10,61,0.777778
10,1,0.750000
10,28,0.750000
10,7,0.750000
10,95,0.750000
10,103,0.727273
10,20,0.727273
10,77,0.727273
10,54,0.714286
10,31,0.700000
10,100,0.700000
38,85,0.684211
10,59,0.666667
10,55,0.666667
10,48,0.642857
38,8,0.640000
10,63,0.636364
10,66,0.625000
10,71,0.615385
10,65,0.611111
10,96,0.611111
38,9,0.606061
10,42,0.600000
10,58,0.600000
10,0,0.600000
38,68,0.588235
10,39,0.588235
10,72,0.583333
10,60,0.571429
10,99,0.571429
10,43,0.571429
38,45,0.558140
10,5,0.555556
38,18,0.552632
10,34,0.550000
10,2,0.545455
38,76,0.545455
10,44,0.538462
10,84,0.538462
10,86,0.538462
10,87,0.529412
10,16,0.529412
10,82,0.523810
10,53,0.523810
10,78,0.521739
271,14,0.520408
10,35,0.520000
38,41,0.514286
10,10,0.500000
10,12,0.500000
10,25,0.500000
10,51,0.500000
10,73,0.500000
10,6,0.500000
10,102,0.500000
10,62,0.500000
10,109,0.500000
10,52,0.500000
10,90,0.500000
10,17,0.500000
10,67,0.500000
10,46,0.480000
38,27,0.473684
10,81,0.466667
38,108,0.461538
10,70,0.458333
10,107,0.450000
10,80,0.444444
10,26,0.444444
38,64,0.444444
10,50,0.444444
10,38,0.434783
38,105,0.419355
10,101,0.416667
10,24,0.400000
10,83,0.400000
10,91,0.400000
10,75,0.400000
10,104,0.400000
10,23,0.400000
10,106,0.400000
10,69,0.363636
10,57,0.357143
10,11,0.352941
38,3,0.343750
10,19,0.333333
10,21,0.333333
10,33,0.333333
10,40,0.333333
10,32,0.315789
10,74,0.307692
10,37,0.300000
10,13,0.285714
10,49,0.285714
10,88,0.272727
10,79,0.272727
10,29,0.272727
10,22,0.250000
10,56,0.222222
10,89,0.200000
10,93,0.166667
10,36,0.142857
10,4,0.100000
