5,47,0.800000
14,39,0.785714
14,24,0.785714
38,18,0.736842
11,66,0.727273
16,59,0.687500
28,86,0.678571
15,23,0.666667
18,95,0.666667
39,87,0.666667
48,42,0.645833
39,88,0.641026
11,13,0.636364
11,94,0.636364
30,109,0.633333
16,37,0.625000
8,89,0.625000
26,83,0.615385
13,67,0.615385
84,8,0.607143
48,82,0.604167
5,26,0.600000
15,91,0.600000
27,74,0.592593
29,44,0.586207
19,79,0.578947
21,0,0.571429
7,15,0.571429
28,48,0.571429
51,70,0.568627
60,45,0.566667
23,20,0.565217
16,99,0.562500
9,49,0.555556
9,103,0.555556
45,32,0.555556
121,68,0.553719
31,108,0.548387
37,107,0.540541
13,21,0.538462
13,52,0.538462
26,97,0.538462
41,84,0.536585
41,33,0.536585
58,65,0.534483
32,46,0.531250
34,98,0.529412
19,71,0.526316
63,27,0.523810
21,14,0.523810
21,69,0.523810
44,81,0.522727
48,41,0.520833
27,25,0.518519
72,64,0.513889
773,53,0.513583
43,9,0.511628
51,38,0.509804
83,76,0.506024
20,60,0.500000
22,101,0.500000
4,62,0.500000
16,56,0.500000
14,54,0.500000
8,43,0.500000
14,40,0.500000
14,2,0.500000
24,104,0.500000
30,106,0.500000
30,29,0.500000
38,34,0.500000
26,50,0.500000
29,93,0.482759
83,3,0.481928
57,96,0.473684
32,80,0.468750
39,72,0.461538
13,77,0.461538
85,85,0.458824
83,105,0.457831
35,11,0.457143
11,51,0.454545
11,12,0.454545
9,100,0.444444
31,61,0.419355
12,55,0.416667
12,10,0.416667
42,78,0.404762
15,22,0.400000
56,35,0.392857
31,4,0.387097
39,73,0.384615
21,31,0.380952
8,75,0.375000
27,57,0.370370
14,58,0.357143
3,6,0.333333
9,28,0.333333
24,92,0.333333
18,16,0.333333
16,90,0.312500
13,19,0.307692
26,1,0.307692
10,30,0.300000
20,5,0.300000
35,17,0.285714
9,63,0.222222
6,7,0.166667
6,102,0.166667
7,36,0.000000
