1,102,1.000000
12,13,1.000000
16,51,0.812500
29,14,0.793103
14,40,0.785714
14,106,0.785714
22,103,0.772727
35,87,0.771429
13,43,0.769231
17,37,0.764706
16,91,0.750000
4,15,0.750000
28,20,0.750000
4,7,0.750000
19,17,0.736842
15,39,0.733333
15,22,0.733333
15,21,0.733333
48,107,0.729167
22,71,0.727273
29,80,0.724138
28,60,0.714286
42,81,0.714286
35,108,0.714286
100,8,0.700000
59,72,0.694915
22,100,0.681818
69,18,0.681159
37,65,0.675676
76,85,0.671053
27,95,0.666667
24,56,0.666667
6,28,0.666667
26,93,0.653846
26,0,0.653846
37,57,0.648649
51,38,0.647059
76,27,0.644737
36,61,0.638889
47,46,0.638298
11,75,0.636364
11,30,0.636364
44,109,0.636364
52,25,0.634615
41,11,0.634146
30,77,0.633333
27,97,0.629630
8,89,0.625000
8,23,0.625000
24,104,0.625000
69,105,0.623188
21,74,0.619048
26,16,0.615385
13,59,0.615385
44,41,0.613636
18,67,0.611111
18,99,0.611111
795,98,0.607547
58,76,0.603448
45,96,0.600000
30,42,0.600000
10,63,0.600000
22,101,0.590909
17,48,0.588235
17,31,0.588235
24,44,0.583333
12,52,0.583333
43,73,0.581395
7,6,0.571429
7,94,0.571429
7,5,0.571429
51,9,0.568627
51,3,0.568627
23,88,0.565217
16,69,0.562500
16,50,0.562500
34,33,0.558824
9,10,0.555556
49,4,0.551020
51,84,0.549020
82,82,0.548780
35,86,0.542857
70,45,0.542857
15,2,0.533333
45,70,0.533333
34,53,0.529412
19,19,0.526316
33,32,0.515152
70,64,0.514286
55,35,0.509091
58,34,0.500000
20,79,0.500000
6,62,0.500000
14,49,0.500000
114,68,0.491228
21,24,0.476190
19,58,0.473684
19,90,0.473684
34,78,0.470588
11,83,0.454545
18,92,0.444444
7,55,0.428571
12,26,0.416667
24,29,0.416667
10,12,0.400000
10,66,0.400000
21,1,0.333333
14,36,0.285714
7,54,0.285714
7,47,0.142857
